"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Интернет-магазин","1","0","Оформление заказа","0"
"0","","0","Калькулятор","1","0","Проверка медленного калькулятора","0"
